Category,Unit,Process,Total  eco-costs  (euro),eco-costs of human health (euro),eco-costs of exo-tocicity (euro ),eco-costs of resource (scarcity   euro),eco-costs of carbon  (footprint euro),eco-costs of Acidification (euro ),eco-costs of Eutrophication (euro ),eco-costs of Photochemical (oxidants   euro ),eco-costs of Fine dust (euro ),eco-costs of Human tocicity (cancer        euro ),eco-costs of Human tocicity (non-canc  euro),eco-costs of Ecotoxicity  (freshwater euro ),eco-costs of Metals Scarcity (euro ),eco-costs of fossil products (              euro),eco-costs of uranium (euro ),eco-costs of land-use (euro ),eco-costs of Baseline Water (Stress       euro ),eco-costs of Landfill ( euro ),Carbon footprint (kg CO2 equiv.),CED (Total) (MJ),Non-renewable fossil (MJ),Non-renewable nuclear (MJ),Non-renewable biomass (MJ),Renewable biomass (MJ),"Renewable wind, solar, geo (MJ)",Renewable water (MJ),ReCiPe2016 endpoint (Pt) (World(2010) H/A),ReCiPe human health (Pt),ReCiPe ecotoxixity (Pt),ReCiPe resources (Pt),ReCiPe human health (DALY),ReCiPe ecotoxixity (species.year),ReCiPe resources (USD2013),"Global warming,  Human health (DALY)","Global warming,  Terrestrial ecosystems (species.year)","Global warming,  Freshwater ecosystems (species.year)",Stratospheric  ozone depletion (DALY),Ionizing  radiation (DALY),"Ozone formation,  Human health (DALY)",Fine particulate  matter formation (DALY),"Ozone formation,  Terrestrial ecosystems (species.year)",Terrestrial  acidification (species.year),Freshwater  eutrophication (species.year),Marine  eutrophication (species.year),Terrestrial  ecotoxicity (species.year),Freshwater  ecotoxicity (species.year),Marine  ecotoxicity (species.year),Human  carcinogenic toxicity (DALY),Human  non-carcinogenic toxicity (DALY),Land use . (species.year),mineral resource  scarcity (USD2013),Fossil resource  scarcity (USD2013),"Water consumption,  Human health (DALY)","Water consumption,  Terrestrial ecosystem (species.year)","Water consumption,  Aquatic ecosystems (species.year)",EF 3.1 Total (Pt),Acidification  (Pt),Climate change  (Pt),Ecotoxicity freshwater (Pt),Particulate  matter (Pt),"Eutrophication,  marine (Pt)","Eutrophication,  freshwater (Pt)","Eutrophication,  terrestrial (Pt)","Human toxicity,  cancer (Pt)","Human toxicity, non-cancer non-cancer (Pt)",Ionising radiation  (Pt),Land use  (Pt),Ozone depletion  (Pt),Photochemical ozone formation  (Pt),"Resource use,  fossils (Pt)","Resource use,  minerals+metals (Pt)",Water use  (Pt),Sources of LCI:
"Materials, agricultural, animal production",m2 ,Leather processed with Chromium III,"0,6603","0,0267","0,0409","0,0320","0,56062","0,013661463","0,023563885","0,024170062","0,0020698279","0,0001936887","0,00029618248","0,0036703338","0,0013891471",0,"0,030617764","8,40E-06",0,0,"4,2152","49,026158","42,184893","4,1505133",0,"0,32665325","1,4352757","0,92882298","0,08014","0,07481","0,00352","0,00181","4,49E-06","1,30E-08","0,2534147918","3,94E-06","1,19E-08","3,25E-13","1,35E-10","1,76E-11","3,59E-09","5,03E-07","5,67E-10","5,37E-10","1,98E-13","1,01E-15","4,28E-13","3,47E-12","6,80E-13","2,25E-09","3,36E-08","1,04E-11","3,87E-05","0,25337608",0,0,0,"1,96E-04","4,67E-06","0,00011752971","4,31E-07","4,29E-06","1,90E-06","2,53E-10","2,89E-06","2,60E-07","1,96E-07","1,32E-07","7,58E-09","2,33E-09","8,87E-06","5,45E-05","5,71E-07",0,LCA for leather (chromium process). Hides assumed to be a byproduct  of milk and meat production without significant value. Average  data for the Netherlands. Input 989 kg food and 0.56 ha grassland per cow. 
"Materials, agricultural, animal production",m2 ,Leather processed with Chromium VI,"0,7333","0,0704","0,0703","0,0320","0,56062","0,013661463","0,023563885","0,024170062","0,0020698279","0,043805277","0,0003192303","0,033118118","0,0013891471",0,"0,030617764","8,40E-06",0,0,"4,2152","49,026158","42,184893","4,1505133",0,"0,32665325","1,4352757","0,92882298","0,45115","0,44581","0,00354","0,00181","0,00002672704057","0,00000001308107508","0,2534147918","3,94E-06","1,19E-08","3,25E-13","1,35E-10","1,76E-11","3,59E-09","5,03E-07","5,67E-10","5,37E-10","1,98E-13","1,01E-15","4,28E-13","5,62E-11","1,28E-11","2,22E-05","4,54E-08","1,04E-11","3,87E-05","0,25337608",0,0,0,"2,58E-04","4,67E-06","0,00011752971","3,88E-06","4,29E-06","1,90E-06","2,53E-10","2,89E-06","5,88E-05","2,11E-07","1,32E-07","7,58E-09","2,33E-09","8,87E-06","5,45E-05","5,71E-07",0,LCA for leather (chromium process). Hides assumed to be a byproduct  of milk and meat production without significant value. Average  data for the Netherlands. Input 989 kg food and 0.56 ha grassland per cow. 
"Materials, agricultural, animal production",kg ,"Wool (Australia, transported to Rotterdam)","10,9432","0,0202","0,0597","0,4790","10,38430","0,030407425","0,020846178","0,0083547434","0,0015075238","0,0003110122","0,010064543","0,008461913","0,00034404174","0,47543537","0,001358446","0,0018280584","1,48E-06",0,"78,0775","57,459857","57,222551","0,18417284",0,"0,00048585115","0,0039179434","0,048729817","1,28645","1,22245","0,06024","0,00375","0,00007328837294","0,0000002227926374","0,5258935414","7,25E-05","2,19E-07","5,97E-12","4,02E-10","8,62E-12","1,24E-09","7,03E-07","1,87E-10","8,80E-10","2,45E-12","9,53E-14","2,31E-12","6,51E-13","3,83E-13","9,95E-10","1,04E-07","3,03E-09","6,04E-05","0,52583319","2,87E-11","1,75E-13","7,82E-18","2,28E-03","6,61E-06","0,002177007","9,92E-07","6,36E-06","1,06E-06","5,50E-08","2,07E-06","4,17E-07","6,66E-06","6,28E-08","1,97E-06","8,64E-10","2,67E-06","6,91E-05","1,44E-07","4,13E-09","Wiedemann et al.. Application of life cycle assessment to sheep production systems: investigating co-production of wool and meat using case studies from major global producers. Int J Life Cycle Assess (2015) 20:463–476. Table 1 and 3, Case 4. Merino, high quality wool. yield 50% from greasy wool. Plus transport, density 110 kg/m3."
"Materials, agricultural, animal production",kg ,Wool at farm Australia,"10,8508","0,0199","0,0485","0,4407","10,34176","0,019898567","0,020114146","0,008156626","0,0014129059","0,00030573652","0,010028947","0,0084491903","0,00031976191","0,43728791","0,0012512617","0,0018257227","1,33E-06",0,"77,7576","53,249753","53,032117","0,16963946",0,"0,00043731428","0,0023779372","0,045180911","1,27770","1,21428","0,05994","0,00348","0,00007279850324","0,0000002216640293","0,4872921878","7,22E-05","2,18E-07","5,95E-12","4,02E-10","8,61E-12","1,21E-09","5,10E-07","1,81E-10","6,57E-10","2,45E-12","9,52E-14","2,29E-12","1,47E-13","2,91E-13","9,93E-10","1,04E-07","3,02E-09","5,78E-05","0,48723436","2,59E-11","1,57E-13","7,04E-18","2,26E-03","5,07E-06","0,0021680869","9,90E-07","5,01E-06","1,05E-06","5,49E-08","2,06E-06","4,10E-07","6,64E-06","6,27E-08","1,97E-06","8,62E-10","2,40E-06","6,40E-05","1,43E-07","3,71E-09","Wiedemann et al.. Application of life cycle assessment to sheep production systems: investigating co-production of wool and meat using case studies from major global producers. Int J Life Cycle Assess (2015) 20:463–476. Table 1 and 3, Case 4. Merino, high quality wool. yield 50% from greasy wool. Plus transport, density 110 kg/m3."
"Materials, agricultural, others",kg ,Crude palm kernel oil refined,"0,7761","0,0039","0,0174","0,6288","0,12592","0,013556308","0,0034953202","0,0032496193","0,00011949668","0,0000096316513","0,00054332445","0,00039186678","0,00015416874","0,015500576","0,0038713043","0,60923908","2,26E-07",0,"0,9468","4,5038564","3,6206942","0,52478567",0,"0,044470499","0,19487919","0,11902688","0,02289","0,02175","0,00097","0,00017","0,000001304194461","0,000000003574009366","0,02357627039","1,02E-06","3,08E-09","8,41E-14","1,16E-11","3,01E-13","4,83E-10","2,79E-07","7,68E-11","3,23E-10","9,45E-12","5,47E-14","6,74E-14","4,93E-14","1,63E-14","3,55E-11","2,88E-09","8,33E-11","5,56E-06","0,023570708","4,39E-12","2,67E-14","1,19E-18","3,84E-05","2,36E-06","0,000026398793","4,59E-08","1,86E-06","2,60E-07","1,52E-09","4,07E-07","1,29E-08","3,60E-07","2,20E-09","5,43E-08","3,26E-11","1,60E-06","5,01E-06","7,01E-08","6,30E-10",recalculated from USLCI
"Materials, agricultural, others",kg ,"Palm kernel oil, crude from trees","0,6715","0,0025","0,0128","0,5731","0,08310","0,010560306","0,0020586968","0,0022745713","0,0000065876883","4,22E-07","0,00025888569","0,0001545749","0,0000066634914","0,00052426131","0,0000039110347","0,57254771","1,60E-07",0,"0,6248","0,070667165","0,069928508","0,00053022129",0,"0,000052363258","0,000057051258","0,000099020589","0,01611","0,01544","0,00067","0,00000","0,0000009256127511","0,000000002463676795","0,0006157921593","7,14E-07","2,15E-09","5,87E-14","4,73E-13","1,24E-14","3,38E-10","2,11E-07","5,53E-11","2,45E-10","8,82E-12","4,91E-14","3,78E-15","1,74E-16","3,23E-16","1,85E-12","1,11E-10","3,17E-12","9,26E-07","0,00061486585","3,10E-12","1,88E-14","8,43E-19","2,25E-05","1,77E-06","1,74E-05","1,81E-08","1,34E-06","1,64E-07","6,11E-11","2,49E-07","5,67E-10","1,71E-07","9,08E-11","2,06E-09","1,70E-12","1,31E-06","8,42E-08","8,35E-10","4,45E-10",recalculated from USLCI
"Materials, agricultural, others",kg ,"Potatoe starch, DE","0,1198","0,0039","0,0152","0,0168","0,08397","0,004195003","0,0036844385","0,0029150953","5,18E-04","4,37E-05","0,0003844505","0,0073217376","2,17E-04","0,01223007","4,31E-03","0,000047379437","1,65E-07",0,"0,6314","9,3619848","8,4046786","5,85E-01","0,00E+00","4,49E-02","1,97E-01","1,31E-01","0,01289","0,01190","0,00059","0,00040","0,0000007132210118","0,000000002176022604","0,05629755959","5,92E-07","1,79E-09","4,88E-14","4,01E-11","3,18E-12","4,33E-10","1,16E-07","6,25E-11","1,28E-10","1,00E-13","2,64E-15","5,59E-11","5,98E-11","5,69E-12","4,89E-10","3,97E-09","7,79E-11","4,23E-04","0,055874887","3,19E-12","1,94E-14","8,68E-19","3,36E-05","1,03E-06","1,76E-05","8,58E-07","1,11E-06","2,82E-07","1,51E-09","4,42E-07","5,86E-08","2,54E-07","2,38E-08","5,09E-08","5,65E-10","6,84E-07","1,06E-05","5,65E-07","4,58E-10","data from ProBas, Umwelt Bundesambt"
"Materials, agricultural, others",kg ,"Potatoes, DE","0,0104","0,0003","0,0022","0,0025","0,00547","0,00048236557","0,00027809311","0,00019271035","0,000048308965","3,54E-06","0,000070633244","0,0014334521","0,0000068925114","0,002359237","0,000092565886","8,94E-06","6,48E-09",0,"0,0411","0,589139","0,56945999","0,012548423",0,"0,0007974229","0,0035226738","0,0028104882","0,00093","0,00085","0,00005","0,00003","0,0000000509985085","0,0000000001727083885","0,004504124777","3,85E-08","1,16E-10","3,18E-15","4,36E-12","1,67E-13","2,87E-11","1,16E-08","4,15E-12","1,32E-11","1,42E-14","4,84E-16","1,12E-11","1,20E-11","1,14E-12","4,17E-11","7,53E-10","1,48E-11","0,000083385077","0,0044207397","1,26E-13","7,64E-16","3,42E-20","2,48E-06","1,01E-07","1,15E-06","1,68E-07","1,14E-07","1,96E-08","2,85E-10","3,21E-08","4,76E-09","4,67E-08","1,25E-09","9,64E-09","5,08E-11","4,82E-08","6,92E-07","9,85E-08","1,80E-11","data from ProBas, Umwelt Bundesambt, plus pesticide proxi"
"Materials, agricultural, others",kg ,"Rape cake, Europe","0,1504","0,0014","0,1200","0,0029","0,02615","0,0013965737","0,1182248","0,0011140106","1,60E-04","8,58E-06","9,23E-05","0,00036169321","4,04E-05","0,0025944887","2,16E-04","9,57E-06","6,08E-07",0,"0,1966","3,1559127","3,1109596","0,029346774",0,"0,0018240746","0,0074246119","0,0063576298","0,00588","0,00555","0,00026","0,00007","0,0000003328855214","0,0000000009519479333","0,00987984641","1,92E-07","5,79E-10","1,58E-14","2,14E-09","4,76E-13","1,66E-10","1,38E-07","2,37E-11","3,14E-10","1,69E-11","2,20E-12","1,70E-13","2,14E-15","4,05E-15","9,01E-11","6,91E-10","1,58E-11","3,04E-04","0,0095760441","1,18E-11","7,17E-14","3,21E-18","2,20E-05","2,55E-06","5,48E-06","4,24E-08","2,40E-06","6,79E-06","4,40E-07","2,00E-06","1,15E-08","6,11E-08","3,56E-09","1,03E-08","1,54E-10","2,44E-07","1,59E-06","3,42E-07","1,69E-09","Anda Fridrihsone, Francesco Romagnoli and Ugis Cabulis. ""Environmental Life Cycle Assessment of Rapeseed and Rapeseed Oil Produced in Northern Europe: A Latvian Case Study"". case spring, 60% allocation. Sustainability 2020, 12, 5699; doi:10.3390/su12145699"
"Materials, agricultural, others",kg ,Soy meal at coast Brazil,"1,5835","0,0076","0,0206","0,7657","0,78952","0,0077369348","0,012143487","0,0058454328","0,00087123203","4,45E-05","8,84E-04","0,00067769543","2,98E-04","0,027724948","0,0016011687","7,36E-01","5,42E-06",0,"5,9362","7,3384839","6,9867446","0,21705485",0,"0,017128992","0,06937545","0,048179993","0,10074","0,09573","0,00465","0,00036","0,000005738999496","0,00000001720573653","0,051091534","5,52E-06","1,67E-08","4,55E-13","2,15E-09","1,45E-12","8,69E-10","2,08E-07","1,31E-10","2,37E-10","1,95E-11","1,07E-13","8,24E-13","1,42E-14","2,55E-14","3,51E-10","6,47E-09","1,59E-10","0,001059606","0,050031928","1,05E-10","6,38E-13","2,85E-17","1,83E-04","1,90E-06","1,66E-04","7,94E-08","1,87E-06","8,28E-07","5,06E-07","8,18E-07","5,97E-08","5,85E-07","1,07E-08","1,04E-07","1,20E-09","1,74E-06","8,61E-06","4,20E-07","1,50E-08",see box A.040.04
